For GP1_man: Intercept = 0.0, Slope = 1.0
For GP2_man: Intercept = 0.0, Slope = 1.0
For GP3_man: Intercept = 0.0, Slope = 1.0
For GP4_man: Intercept = 0.0, Slope = 1.0
For GP5_man: Intercept = 0.0, Slope = 1.0
For GP6_man: Intercept = 0.0, Slope = 1.0
For GP7_man: Intercept = 0.0, Slope = 1.0
For GP8_man: Intercept = 0.0, Slope = 1.0
For GP9_man: Intercept = 0.0, Slope = 1.0
For GP10_man: Intercept = 0.0, Slope = 1.0
For GP11_man: Intercept = 0.0, Slope = 1.0
For GP12_man: Intercept = 0.0, Slope = 1.0
For GP13_man: Intercept = 0.0, Slope = 1.0
For GP14_man: Intercept = 0.0, Slope = 1.0
For GP15_man: Intercept = 0.0, Slope = 1.0
For GP16_man: Intercept = 0.0, Slope = 1.0
For GP17_man: Intercept = 0.0, Slope = 1.0
For GP18_man: Intercept = 0.0, Slope = 1.0
For GP19_man: Intercept = 0.0, Slope = 1.0
For GP20_man: Intercept = 0.0, Slope = 1.0
For GP21_man: Intercept = 0.0, Slope = 1.0
For GP22_man: Intercept = 0.0, Slope = 1.0
For GP23_man: Intercept = 0.0, Slope = 1.0
For GP24_man: Intercept = 0.0, Slope = 1.0
For GP25_man: Intercept = 0.0, Slope = 1.0
For GP26_man: Intercept = 0.0, Slope = 1.0
For GP27_man: Intercept = 0.0, Slope = 1.0
For GP1_tec: Intercept = 0.0, Slope = 1.0
For GP2_tec: Intercept = 0.0, Slope = 1.0
For GP3_tec: Intercept = 0.0, Slope = 1.0
For GP4_tec: Intercept = 0.0, Slope = 1.0
For GP5_tec: Intercept = 0.0, Slope = 1.0
For GP6_tec: Intercept = 0.0, Slope = 1.0
For GP7_tec: Intercept = 0.0, Slope = 1.0
For GP8_tec: Intercept = 0.0, Slope = 1.0
For GP9_tec: Intercept = 0.0, Slope = 1.0
For GP10_tec: Intercept = 0.0, Slope = 1.0
For GP11_tec: Intercept = 0.0, Slope = 1.0
For GP12_tec: Intercept = 0.0, Slope = 1.0
For GP13_tec: Intercept = 0.0, Slope = 1.0
For GP14_tec: Intercept = 0.0, Slope = 1.0
For GP15_tec: Intercept = 0.0, Slope = 1.0
For GP16_tec: Intercept = 0.0, Slope = 1.0
For GP17_tec: Intercept = 0.0, Slope = 1.0
For GP18_tec: Intercept = 0.0, Slope = 1.0
For GP19_tec: Intercept = 0.0, Slope = 1.0
For GP20_tec: Intercept = 0.0, Slope = 1.0
For GP21_tec: Intercept = 0.0, Slope = 1.0
For GP22_tec: Intercept = 0.0, Slope = 1.0
For GP23_tec: Intercept = 0.0, Slope = 1.0
For GP24_tec: Intercept = 0.0, Slope = 1.0
For GP25_tec: Intercept = 0.0, Slope = 1.0
For GP26_tec: Intercept = 0.0, Slope = 1.0
For GP27_tec: Intercept = 0.0, Slope = 1.0
